sample-id,score,group
ERR1075543,0.5988,NORMAL
ERR1075547,0.7519,OTHER
ERR1075553,0.8013,OTHER
ERR1075554,0.7105,NORMAL
ERR1075559,0.8279,OTHER
ERR1075599,0.6916,NORMAL
ERR1075603,0.6983,NORMAL
ERR1075615,0.8314,OTHER
ERR1075624,0.6915,NORMAL
ERR1075630,0.63,NORMAL
ERR1075633,0.7962,OTHER
ERR1075635,0.658,NORMAL
ERR1075636,0.8103,OTHER
ERR1075637,0.7128,NORMAL
ERR1075653,0.8329,OTHER
ERR1075654,0.7536,OTHER
ERR1075655,0.8179,OTHER
ERR1075664,0.6147,NORMAL
ERR1075668,0.7404,OTHER
ERR1075673,0.8697,OTHER
ERR1075674,0.6502,NORMAL
ERR1075680,0.6488,NORMAL
ERR1075687,0.8815,OTHER
ERR1075693,0.8043,OTHER
ERR1075696,0.6778,NORMAL
ERR1075697,0.8075,OTHER
ERR1075698,0.762,OTHER
ERR1075702,0.662,NORMAL
ERR1075705,0.593,NORMAL
ERR1075708,0.7288,OTHER
ERR1075717,0.776,OTHER
ERR1075718,0.7978,OTHER
ERR1075731,0.755,OTHER
ERR1075733,0.6885,NORMAL
ERR1075736,0.7,NORMAL
ERR1075746,0.7627,OTHER
ERR1075747,0.7051,NORMAL
ERR1075749,0.7043,NORMAL
ERR1075750,0.5315,NORMAL
ERR1075751,0.6149,NORMAL
ERR1075758,0.6943,NORMAL
ERR1075761,0.5939,NORMAL
ERR1075762,0.64,NORMAL
ERR1075763,0.6383,NORMAL
ERR1075764,0.7388,OTHER
ERR1075768,0.825,OTHER
ERR1075769,0.8719,OTHER
ERR1075770,0.7458,OTHER
ERR1075778,0.8061,OTHER
ERR1075779,0.637,NORMAL
ERR1075782,0.6266,NORMAL
ERR1075784,0.6327,NORMAL
ERR1075785,0.7463,OTHER
ERR1075786,0.8665,OTHER
ERR1075789,0.6376,NORMAL
ERR1075792,0.8255,OTHER
ERR1075793,0.7057,NORMAL
ERR1075794,0.8164,OTHER
ERR1075797,0.7179,NORMAL
ERR1075798,0.6678,NORMAL
ERR1075803,0.6429,NORMAL
ERR1075806,0.7398,OTHER
ERR1075808,0.7079,NORMAL
ERR1075810,0.8193,OTHER
ERR1075812,0.8413,OTHER
ERR1075818,0.8949,DEVIANT
ERR1075819,0.6775,NORMAL
ERR1075820,0.72,NORMAL
ERR1075826,0.6761,NORMAL
ERR1075829,0.8605,OTHER
ERR1075835,0.6473,NORMAL
ERR1075836,0.6867,NORMAL
ERR1075837,0.5958,NORMAL
ERR1075840,0.749,OTHER
ERR1075844,0.8757,OTHER
ERR1075845,0.6569,NORMAL
ERR1075849,0.7576,OTHER
ERR1075852,0.6834,NORMAL
ERR1075854,0.704,NORMAL
ERR1075857,0.6388,NORMAL
ERR1075869,0.6485,NORMAL
ERR1075874,0.6825,NORMAL
ERR1075877,0.6451,NORMAL
ERR1075878,0.8519,OTHER
ERR1075881,0.6855,NORMAL
ERR1075888,0.6874,NORMAL
ERR1075902,0.665,NORMAL
ERR1075904,0.738,OTHER
ERR1075915,0.6575,NORMAL
ERR1075916,0.6772,NORMAL
ERR1075922,0.7126,NORMAL
ERR1075923,0.6709,NORMAL
ERR1075924,0.8971,DEVIANT
ERR1075926,0.7189,NORMAL
ERR1075928,0.7411,OTHER
ERR1075932,0.6723,NORMAL
ERR1075933,0.6952,NORMAL
ERR1075955,0.6983,NORMAL
ERR1075956,0.5474,NORMAL
ERR1075957,0.808,OTHER
ERR1075959,0.6671,NORMAL
ERR1075962,0.8005,OTHER
ERR1075965,0.685,NORMAL
ERR1075968,0.8154,OTHER
ERR1075970,0.7474,OTHER
ERR1075975,0.726,OTHER
ERR1075977,0.7099,NORMAL
ERR1075980,0.8774,OTHER
ERR1075981,0.6837,NORMAL
ERR1075985,0.693,NORMAL
ERR1075986,0.9359,DEVIANT
ERR1075988,0.6703,NORMAL
ERR1075995,0.794,OTHER
ERR1076003,0.5828,NORMAL
ERR1076004,0.6507,NORMAL
ERR1076005,0.6754,NORMAL
ERR1076009,0.7091,NORMAL
ERR1076015,0.6404,NORMAL
ERR1076016,0.6741,NORMAL
ERR1076023,0.6685,NORMAL
ERR1076024,0.6379,NORMAL
ERR1076025,0.7706,OTHER
ERR1076031,0.75,OTHER
ERR1076650,0.7291,OTHER
ERR1076656,0.8188,OTHER
ERR1076660,0.7135,NORMAL
ERR1076668,0.7252,NORMAL
ERR1076677,0.6485,NORMAL
ERR1076684,0.7101,NORMAL
ERR1076686,0.7289,OTHER
ERR1076693,0.7231,NORMAL
ERR1076695,0.7092,NORMAL
ERR1076702,0.6737,NORMAL
ERR1076706,0.6386,NORMAL
ERR1076732,0.7689,OTHER
ERR1076737,0.8733,OTHER
ERR1076778,0.7683,OTHER
ERR1076782,0.7046,NORMAL
ERR1076786,0.6188,NORMAL
ERR1076790,0.7142,NORMAL
ERR1076792,0.8284,OTHER
ERR1076799,0.692,NORMAL
ERR1076810,0.6704,NORMAL
ERR1076826,0.6128,NORMAL
ERR1076838,0.634,NORMAL
ERR1076840,0.6954,NORMAL
ERR1076843,0.776,OTHER
ERR1076844,0.7471,OTHER
ERR1076849,0.5703,NORMAL
ERR1076852,0.6578,NORMAL
ERR1076857,0.7651,OTHER
ERR1076859,0.7601,OTHER
ERR1076861,0.8148,OTHER
ERR1076865,0.6648,NORMAL
ERR1076866,0.817,OTHER
ERR1076908,0.8041,OTHER
ERR1076909,0.8716,OTHER
ERR1076911,0.6642,NORMAL
ERR1076913,0.7878,OTHER
ERR1076920,0.8127,OTHER
ERR1076926,0.7471,OTHER
ERR1076927,0.8262,OTHER
ERR1076932,0.6246,NORMAL
ERR1076957,0.7062,NORMAL
ERR1076966,0.5915,NORMAL
ERR1076985,0.7476,OTHER
ERR1077009,0.6178,NORMAL
ERR1077019,0.6208,NORMAL
ERR1077056,0.862,OTHER
ERR1077069,0.7658,OTHER
ERR1077094,0.7669,OTHER
ERR1077099,0.7257,NORMAL
ERR1077141,0.6867,NORMAL
ERR1077178,0.6414,NORMAL
ERR1077189,0.7737,OTHER
ERR1077263,0.6973,NORMAL
ERR1077264,0.7002,NORMAL
ERR1077266,0.8169,OTHER
ERR1077271,0.6579,NORMAL
ERR1077275,0.8501,OTHER
ERR1077282,0.7388,OTHER
ERR1077288,0.7033,NORMAL
ERR1077290,0.7387,OTHER
ERR1077294,0.6615,NORMAL
ERR1077301,0.6517,NORMAL
ERR1077305,0.7466,OTHER
ERR1077316,0.6821,NORMAL
ERR1077318,0.784,OTHER
ERR1077327,0.8925,DEVIANT
ERR1077329,0.5781,NORMAL
ERR1077331,0.9215,DEVIANT
ERR1077338,0.5751,NORMAL
ERR1077341,0.7059,NORMAL
ERR1077349,0.7534,OTHER
ERR1077353,0.6415,NORMAL
ERR1077354,0.639,NORMAL
ERR1077365,0.6606,NORMAL
ERR1077368,0.7167,NORMAL
ERR1077369,0.6577,NORMAL
ERR1077370,0.7123,NORMAL
ERR1077373,0.8751,OTHER
ERR1077375,0.7689,OTHER
ERR1077376,0.6662,NORMAL
ERR1077377,0.6955,NORMAL
ERR1077381,0.6777,NORMAL
ERR1077382,0.6488,NORMAL
ERR1077406,0.6289,NORMAL
ERR1077415,0.6732,NORMAL
ERR1077416,0.6314,NORMAL
ERR1077417,0.6741,NORMAL
ERR1077421,0.6834,NORMAL
ERR1077431,0.6592,NORMAL
ERR1077574,0.574,NORMAL
ERR1077582,0.7297,OTHER
ERR1077588,0.6446,NORMAL
ERR1077600,0.6353,NORMAL
ERR1077614,0.6028,NORMAL
ERR1077673,0.6305,NORMAL
ERR1077680,0.678,NORMAL
ERR1077681,0.7175,NORMAL
ERR1077685,0.7998,OTHER
ERR1077686,0.6079,NORMAL
ERR1077687,0.7098,NORMAL
ERR1077689,0.6258,NORMAL
ERR1077808,0.7578,OTHER
ERR1077821,0.7721,OTHER
ERR1077823,0.6883,NORMAL
ERR1077829,0.7939,OTHER
ERR1077847,0.6995,NORMAL
ERR1077856,0.7179,NORMAL
ERR1077869,0.6322,NORMAL
ERR1077879,0.8779,OTHER
ERR1077881,0.7591,OTHER
ERR1077896,0.6502,NORMAL
